校下・地区,センター,もやせるごみ,もやせないごみ,資源ごみ(びん類),資源ごみ(缶類),資源ごみ(古紙類),粗大ごみ
真栄田,　,水 土,土,土2 土4,土2 土4,土2 土4,月2 月4
塩屋,　,水 土,土,土2 土4,土2 土4,土2 土4,月2 月4
宇加地,　,水 土,土,土2 土4,土2 土4,土2 土4,月2 月4
山田,　,水 土,土,土2 土4,土2 土4,土2 土4,月2 月4
仲泊(ニュータウン含),　,火 金,金,土2 土4,土2 土4,土2 土4,月2 月4
前兼久,　,火 金,金,土2 土4,土2 土4,土2 土4,月2 月4
谷茶,　,月 木,木,土1 土3,土1 土3,土1 土3,月2 月4
富着,　,月 木,木,土1 土3,土1 土3,土1 土3,月2 月4
南恩納,　,月 木,木,土1 土3,土1 土3,土1 土3,月2 月4
恩納,　,水 土,土,土1 土3,土1 土3,土1 土3,月1 月3
瀬良垣,　,火 金,金,土1 土3,土1 土3,土1 土3,月1 月3
太田,　,火 金,金,土1 土3,土1 土3,土1 土3,月1 月3
喜瀬武原,　,火 金,金,土1 土3,土1 土3,土1 土3,月1 月3
安富祖,　,月 木,木,土1 土3,土1 土3,土1 土3,月1 月3
名嘉真(希望丘含),　,月 木,木,土1 土3,土1 土3,土1 土3,月1 月3
